iter	Passed	Remaining
226	5663	19284
227	5685	19251
228	5707	19217
229	5733	19195
230	5757	19167
231	5782	19140
232	5806	19113
233	5829	19083
234	5854	19056
235	5878	19030
236	5902	19001
237	5926	18975
238	5950	18947
239	5973	18917
240	5998	18889
241	6024	18869
242	6049	18845
243	6073	18818
244	6098	18794
245	6121	18762
246	6145	18736
247	6170	18711
248	6196	18688
249	6221	18665
250	6245	18637
251	6269	18608
252	6293	18582
253	6317	18553
254	6342	18531
255	6366	18503
256	6390	18474
257	6414	18448
258	6438	18420
259	6462	18394
260	6487	18369
261	6511	18341
262	6536	18316
263	6559	18288
264	6583	18259
265	6607	18231
266	6631	18205
267	6658	18185
268	6682	18158
269	6705	18129
270	6732	18109
271	6756	18083
272	6778	18051
273	6803	18027
274	6828	18003
275	6852	17974
276	6875	17945
277	6900	17921
278	6923	17891
279	6947	17865
280	6971	17838
281	6995	17812
282	7018	17782
283	7042	17754
284	7066	17727
285	7089	17699
286	7115	17677
287	7140	17652
288	7168	17635
289	7193	17610
290	7214	17578
291	7237	17548
292	7263	17526
293	7288	17502
294	7312	17474
295	7336	17448
296	7361	17423
297	7383	17394
298	7407	17367
299	7432	17343
300	7456	17316
301	7482	17295
302	7510	17276
303	7535	17252
304	7561	17230
305	7586	17206
306	7610	17178
307	7634	17152
308	7658	17125
309	7682	17100
310	7706	17073
311	7731	17048
312	7755	17022
313	7782	17002
314	7806	16975
315	7829	16947
316	7853	16921
317	7878	16896
318	7901	16868
319	7926	16843
320	7951	16818
321	7973	16788
322	7997	16761
323	8020	16734
324	8044	16708
325	8068	16681
326	8093	16658
327	8117	16630
328	8139	16599
329	8164	16575
330	8190	16553
331	8215	16530
332	8238	16502
333	8261	16473
334	8288	16453
335	8313	16429
336	8336	16401
337	8361	16375
338	8384	16348
339	8410	16326
340	8434	16300
341	8460	16277
342	8484	16252
343	8508	16225
344	8532	16200
345	8555	16170
346	8579	16145
347	8602	16117
348	8626	16090
349	8650	16064
350	8672	16035
351	8698	16013
352	8723	15989
353	8748	15963
354	8772	15938
355	8796	15913
356	8820	15887
357	8847	15865
358	8871	15840
359	8895	15814
360	8920	15789
361	8944	15764
362	8970	15741
363	8995	15717
364	9019	15691
365	9044	15666
366	9069	15643
367	9093	15616
368	9116	15590
369	9141	15565
370	9164	15537
371	9187	15510
372	9211	15484
373	9236	15460
374	9261	15435
375	9286	15411
376	9311	15386
377	9333	15358
378	9359	15334
379	9382	15308
380	9407	15284
381	9436	15266
382	9463	15246
383	9488	15221
384	9512	15195
385	9537	15171
386	9560	15143
387	9581	15113
388	9606	15089
389	9633	15067
390	9659	15044
391	9684	15021
392	9713	15002
393	9738	14979
394	9763	14954
395	9788	14929
396	9811	14902
397	9835	14876
398	9861	14853
399	9886	14830
400	9910	14803
401	9934	14777
